"id","name","active","regNumber","route","category","status","profile","oldGenericRule"
"157","Lovastatin DWP 10mg TTKN-25","Lovastatin","VD-35744-22","Uống","Thuốc nội trú khác","Đã có hồ sơ xác minh theo hoạt chất/SĐK","lovastatin","statin_antiplatelet_anticoagulant"
"158","Lyoxatin 100mg/20ml TTKN-25","Oxaliplatin","QLĐB-593-17","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"159","Lyoxatin 50mg/10ml TTKN-25","Oxaliplatin","893114115223","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oncology"
"160","Magnesi Sulfat Kabi 15%","Magnesi sulfat","VD-19567-13","Tiêm truyền","Dịch truyền - điện giải - dinh dưỡng","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","electrolyte_fluid"
"161","Mannitol 250ml","Manitol","VD-23168-15","Tiêm truyền","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","mannitol_bicarbonate_water_oxygen"
"162","Marcaine Spinal Heavy 0.5%","Bupivacain hydroclorid","VN-19785-16","Tiêm","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","local_anesthetic"
"163","Medlon 16","Methylprednisolon","VD-24620-16","Uống","Thuốc nội trú khác","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","corticosteroid"
"164","Meronem 1g","Meropenem","VN-17831-14","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Meronem 1g","carbapenem"
"165","Meropenem 1g","Meropenem","VD-24339-16","Tiêm","Kháng sinh / kháng nấm / kháng virus","Đã có hồ sơ chuyên môn nội bộ (kháng sinh/kháng nấm/kháng virus)","Meronem 1g","carbapenem"
"166","Metformin Stella 850 mg TTKN-25","Metformin","VD-26565-17","Uống","Nội tiết - chuyển hóa","Chưa có hồ sơ xác minh - không hiển thị dữ liệu suy đoán","","oral_antidiabetic"
